Keyword,Avg. Monthly Searches,Top of Page Bid (Low),Top of Page Bid (High),Competition
Keyword 1,65670,0.77,2.06,High
Keyword 2,80751,1.08,2.59,Low
Keyword 3,43656,1.81,4.79,High
Keyword 4,10614,0.61,0.88,Low
Keyword 5,41077,0.69,1.2,Low
Keyword 6,17111,1.82,4.03,Low
Keyword 7,68659,1.76,2.04,Low
Keyword 8,43150,1.66,2.98,Medium
Keyword 9,17089,0.95,2.79,Low
Keyword 10,81022,0.16,2.29,Low
Keyword 11,25667,1.37,1.5,High
Keyword 12,18097,0.91,1.93,High
Keyword 13,84707,0.85,2.55,High
Keyword 14,60022,0.55,3.39,Low
Keyword 15,96309,1.92,2.46,Low
Keyword 16,68649,1.68,2.53,High
Keyword 17,51480,1.92,3.95,Medium
Keyword 18,79884,0.33,1.43,Low
Keyword 19,67947,1.0,1.78,High
Keyword 20,80395,0.73,3.26,Low
Keyword 21,96713,0.89,3.29,High
Keyword 22,28676,1.83,2.89,High
Keyword 23,54451,1.18,3.77,High
Keyword 24,68489,1.54,2.21,Medium
Keyword 25,15344,0.96,2.9,High
Keyword 26,35516,0.77,1.69,Medium
Keyword 27,10584,0.71,2.61,Medium
Keyword 28,85530,0.65,2.07,Low
Keyword 29,28839,1.25,1.88,Medium
Keyword 30,27784,1.35,2.43,Low
Keyword 31,81661,1.14,1.66,Medium
Keyword 32,26403,0.21,2.64,High
Keyword 33,10757,0.91,1.4,High
Keyword 34,68493,1.93,2.63,Low
Keyword 35,5909,1.5,2.27,Medium
Keyword 36,38752,1.8,4.7,High
Keyword 37,38706,0.81,3.7,Medium
Keyword 38,19092,1.78,3.76,Low
Keyword 39,48835,0.59,1.02,Low
Keyword 40,55719,0.82,1.13,High
Keyword 41,72770,1.55,2.5,Low
Keyword 42,23329,0.45,2.39,Low
Keyword 43,46801,1.99,2.9,Medium
Keyword 44,99816,0.16,1.83,Medium
Keyword 45,90092,0.89,1.41,Low
Keyword 46,91479,0.24,1.98,Low
Keyword 47,23297,0.43,2.67,Medium
Keyword 48,6136,1.3,3.34,Low
Keyword 49,38487,0.7,1.89,Medium
Keyword 50,65666,1.4,2.5,Medium
Keyword 51,16977,1.66,3.85,Medium
Keyword 52,65248,0.77,3.7,Medium
Keyword 53,21588,0.55,0.82,Medium
Keyword 54,1828,1.29,3.99,Medium
Keyword 55,19719,1.7,2.43,Medium
Keyword 56,70828,1.65,2.64,High
Keyword 57,36423,1.28,2.92,High
Keyword 58,59227,0.77,3.31,Medium
Keyword 59,62141,1.91,3.73,High
Keyword 60,49423,0.8,3.06,Low
Keyword 61,17853,0.96,1.35,Medium
Keyword 62,94866,1.89,3.56,High
Keyword 63,39304,0.39,0.56,Low
Keyword 64,82402,1.62,2.38,Medium
Keyword 65,60001,0.16,0.38,Low
Keyword 66,92826,0.54,1.14,Medium
Keyword 67,28986,1.92,3.36,High
Keyword 68,71832,0.58,3.21,Low
Keyword 69,80887,1.09,2.03,Low
Keyword 70,61740,0.93,3.88,Low
Keyword 71,85364,0.34,1.39,Low
Keyword 72,36125,0.43,3.01,Low
Keyword 73,56420,1.57,4.3,Medium
Keyword 74,80170,0.59,3.01,Medium
Keyword 75,24429,0.34,0.85,Low
Keyword 76,73779,0.52,0.91,High
Keyword 77,94314,1.33,3.9,Medium
Keyword 78,36793,1.61,2.98,High
Keyword 79,27761,1.58,4.44,Low
Keyword 80,39162,0.55,2.4,High
Keyword 81,72028,0.19,1.01,Medium
Keyword 82,41788,0.48,2.37,Low
Keyword 83,89597,1.92,4.22,Medium
Keyword 84,6891,0.48,1.34,High
Keyword 85,71670,1.07,2.98,Low
Keyword 86,65031,0.57,1.84,High
Keyword 87,76045,1.79,2.86,Low
Keyword 88,75996,1.28,3.24,Low
Keyword 89,19498,1.93,2.63,High
Keyword 90,85612,1.14,2.47,Low
Keyword 91,79234,1.87,3.96,Low
Keyword 92,63593,0.64,1.96,High
Keyword 93,3422,0.99,3.31,Medium
Keyword 94,78612,1.12,1.7,Low
Keyword 95,8489,1.84,3.07,High
Keyword 96,57752,0.42,3.06,Low
Keyword 97,58843,0.85,3.57,Low
Keyword 98,90103,0.34,2.23,High
Keyword 99,46407,0.29,2.79,Low
Keyword 100,71044,0.32,2.2,Medium
Keyword 101,85810,0.67,2.84,High
Keyword 102,16205,0.22,2.6,Low
Keyword 103,1451,1.61,4.58,High
Keyword 104,57949,0.53,1.51,Low
Keyword 105,91759,0.24,2.76,High
Keyword 106,51175,0.68,2.88,Low
Keyword 107,4883,0.78,3.57,Low
Keyword 108,92596,0.52,0.93,Low
Keyword 109,81044,1.59,4.12,Low
Keyword 110,86908,1.91,4.09,High
Keyword 111,26212,1.24,1.95,Medium
Keyword 112,25400,0.78,3.44,Low
Keyword 113,51507,1.71,2.74,High
Keyword 114,54061,1.58,4.23,High
Keyword 115,30747,1.09,3.4,Medium
Keyword 116,74643,1.8,2.56,Low
Keyword 117,80385,1.15,3.14,Medium
Keyword 118,15093,2.0,4.31,Low
Keyword 119,81305,0.78,1.77,High
Keyword 120,48789,1.42,2.04,High
Keyword 121,7580,0.53,0.87,Low
Keyword 122,25419,0.55,2.11,Low
Keyword 123,7769,0.42,2.11,High
Keyword 124,58034,0.64,2.06,Low
Keyword 125,24435,1.23,3.98,High
Keyword 126,9871,1.27,2.93,High
Keyword 127,44570,0.35,1.66,Low
Keyword 128,97484,0.29,1.28,Medium
Keyword 129,10284,1.08,1.54,Low
Keyword 130,49800,1.44,2.51,High
Keyword 131,69823,1.84,4.18,Low
Keyword 132,72307,1.93,2.71,Low
Keyword 133,23476,1.14,2.69,High
Keyword 134,32757,0.27,2.77,Low
Keyword 135,78500,1.48,4.19,Medium
Keyword 136,6752,1.92,2.97,Low
Keyword 137,13382,1.04,1.54,Low
