Keyword,Avg. Monthly Searches,Top of Page Bid (Low),Top of Page Bid (High),Competition,Suggested CPC
Keyword 10,81022,0.16,2.29,Low,0.4
Keyword 18,79884,0.33,1.43,Low,0.4
Keyword 32,26403,0.21,2.64,High,0.4
Keyword 44,99816,0.16,1.83,Medium,0.4
Keyword 46,91479,0.24,1.98,Low,0.4
Keyword 63,39304,0.39,0.56,Low,0.4
Keyword 65,60001,0.16,0.38,Low,0.4
Keyword 71,85364,0.34,1.39,Low,0.4
Keyword 75,24429,0.34,0.85,Low,0.4
Keyword 81,72028,0.19,1.01,Medium,0.4
Keyword 98,90103,0.34,2.23,High,0.4
Keyword 99,46407,0.29,2.79,Low,0.4
Keyword 100,71044,0.32,2.2,Medium,0.4
Keyword 102,16205,0.22,2.6,Low,0.4
Keyword 105,91759,0.24,2.76,High,0.4
Keyword 127,44570,0.35,1.66,Low,0.4
Keyword 128,97484,0.29,1.28,Medium,0.4
Keyword 134,32757,0.27,2.77,Low,0.4
Keyword 144,67266,0.31,2.27,Medium,0.4
Keyword 147,19035,0.26,2.97,Low,0.4
Keyword 151,23933,0.34,2.36,Low,0.4
Keyword 156,92489,0.12,1.84,High,0.4
Keyword 162,93512,0.33,2.8,High,0.4
Keyword 167,92775,0.4,1.97,Low,0.4
Keyword 173,96218,0.34,2.55,High,0.4
Keyword 195,44498,0.4,3.08,Medium,0.4
Keyword 202,41584,0.31,2.98,High,0.4
Keyword 206,64095,0.39,1.48,High,0.4
Keyword 208,55184,0.33,1.27,Medium,0.4
Keyword 215,31117,0.27,2.21,Medium,0.4
Keyword 228,93301,0.32,1.19,Medium,0.4
Keyword 232,11978,0.38,2.59,Medium,0.4
Keyword 238,2382,0.2,1.55,High,0.4
Keyword 242,63865,0.2,0.56,High,0.4
Keyword 246,28517,0.35,1.83,High,0.4
Keyword 248,38715,0.24,1.99,Low,0.4
Keyword 257,17593,0.29,2.27,Medium,0.4
Keyword 269,12172,0.38,1.75,Low,0.4
Keyword 280,26389,0.11,1.81,Medium,0.4
Keyword 287,55358,0.19,2.52,High,0.4
Keyword 295,35603,0.15,3.06,Low,0.4
Keyword 300,67340,0.2,1.46,Medium,0.4
Keyword 302,99749,0.12,3.09,High,0.4
Keyword 305,34015,0.14,1.95,High,0.4
Keyword 325,94669,0.17,0.73,Low,0.4
Keyword 330,6154,0.28,1.1,Medium,0.4
Keyword 336,21206,0.19,1.15,High,0.4
Keyword 338,36324,0.2,3.04,High,0.4
Keyword 341,21313,0.26,1.63,High,0.4
Keyword 351,41497,0.11,0.97,Low,0.4
Keyword 352,87393,0.35,0.96,Medium,0.4
Keyword 358,79586,0.15,2.86,Low,0.4
Keyword 364,92308,0.39,2.22,Medium,0.4
